,Passage
2669,Coulombs torsion balance
2670,1785 Coulomb presented three reports Electricity Magnetism
2671,Premier MÃmoire sur lâElectricitÃ et le MagnÃtisme Histoire de lâAcadÃmie Royale des Sciences 569577 1785 publication Coulomb describes âHow construct use electric balance torsion balance based property metal wires reaction torsion force proportional torsion angleâ Coulomb also experimentally determined law explains âtwo bodies electrified kind Electricity exert otherâ
2672,SÃcond MÃmoire sur lâElectricitÃ et le MagnÃtisme Histoire de lâAcadÃmie Royale des Sciences 578611 1785 publication Coulomb carries âdetermination according laws Magnetic Electric fluids act either repulsion attractionâ
2673,TroisiÃme MÃmoire sur lâElectricitÃ et le MagnÃtisme Histoire de lâAcadÃmie Royale des Sciences 612638 1785 âOn quantity Electricity isolated body loses certain time period either contact less humid air supports less idioelectricâ
2674,Four subsequent reports published following years
2675,QuatriÃme MÃmoire two principal properties electric fluid demonstrated first fluid expand object according chemical affinity elective attraction divides different objects brought contact second conducting objects fluid achieved state stability expands surface body penetrate interior 1786
2676,CinquiÃme MÃmoire manner electric fluid divides conducting objects brought contact distribution fluid different parts surface object 1787
2677,SixiÃme MÃmoire Continuation research distribution electric fluid several conductors Determination electric density different points surface bodies 1788
2678,SeptiÃme MÃmoire magnetism 1789
2679,Coulomb explained laws attraction repulsion electric charges magnetic poles although find relationship two phenomena thought attraction repulsion due different kinds fluids
2680,French National Library MÃmoires Coulomb available pdf format
2681,
2682,Turtles reptilians Order Testudines living turtles belong crown group Chelonia whose body shielded special bony cartilaginous shell developed ribs Order Testudines includes extant living extinct species earliest known turtles around 215 million years ago ref making turtles one oldest reptile groups much ancient group lizards snakes 300 species alive today highly endangered
2683,Like reptiles turtles ectothermic coldblooded Reptile blood isnt necessarily cold reptiles sun take measures stay warm Like amniotes reptiles dinosaurs birds mammals breathe air dont lay eggs underwater though many species live around water largest turtles aquatic
2684,American map turtle hatchling
2685,Even though many turtles spend large amounts lives underwater turtles tortoises breathe air must surface regular intervals refill lungs also spend much lives dry land Aquatic respiration Australian freshwater turtles currently studied species large cloacal cavities lined many fingerlike projections projections called papillae rich blood supply serve increase surface area cloaca turtles take dissolved oxygen water using papillae much way fish use gills respire
2686,Turtles lay eggs like reptiles slightly soft leathery eggs largest species spherical eggs rest elongated albumen white contains different protein bird eggs coagulate cooked Turtle eggs prepared eat consist mainly yolk species temperature determines whether egg develops male female higher temperature causes female lower temperature causes male Large numbers eggs deposited holes dug mud sand covered left incubate turtles hatch squirm way surface make water known species wherein mother cares young
2687,Sea turtles lay eggs dry sandy beaches Immature sea turtles cared adults endangered largely result beach development hunting
2688,Turtles take many years reach breeding age Often turtles breed every years
2689,Researchers recently discovered turtleâs organs gradually break become less efficient time unlike animals found liver lungs kidneys centenarian turtle virtually indistinguishable immature counterpart inspired genetic researchers begin examining turtle genome longevity genes Ageless Turtles Face Biggest Threat Humans
2690,Turtles divided three suborders one Paracryptodira extinct two extant suborders Cryptodira Pleurodira Cryptodira larger two groups includes marine turtles terrestrial tortoises many freshwater turtles Pleurodira sometimes known sidenecked turtles reference way withdraw heads shells smaller group consists primarily various freshwater turtles
2691,Different animals called turtles tortoises terrapins different varieties English
2692,Turtles particularly small terrestrial freshwater turtles commonly kept pets Among popular Russian Tortoises Greek spurthighed tortoises redear sliders terrapin David Alderton 1986 Interpet Guide Reptiles Amphibians Salamander Books Ltd London New York
2693,Addyaita giant turtle Aldabra reportedly 250years old died Kolkata Zoo March 24 2005
2694,Iskandar DT 2000 Turtles Crocodiles Insular Southeast Asia New Guinea ITB Bandung
2695,Pritchard Pether C H 1979 Encyclopedia Turtles TFH Publications
2696,Turtles World Extensive information known turtles tortoises terrapins including key quiz
2697,website pet turtle species including guide caring turtles
2698,Gulf Coast Turtle Tortoise Society group dedicated education proper captive husbandry turtles tortoises
2699,Singapore officially Republic Singapore island nation located southern tip Malay Peninsula lies 137 kilometres 85 mi north Equator south Malaysian state Johor north Indonesias Riau Islands 7040 kmÂ² 272 sq mi one remaining citystates world smallest country Southeast Asia
2700,British East India Company established trading post island 1819 main settlement point Malay fishing village mouth Singapore River Several hundred indigenous Orang Laut people also lived around coast rivers smaller islands British used Singapore strategic trading post along spice route became one important commercial military centres British Empire Winston Churchill called Britains greatest defeat occupied Japanese World War II Singapore reverted British rule 1945 1963 merged Malaya Sabah Sarawak form Malaysia Less two years later split federation became independent republic 9 August 1965 Singapore admitted United Nations September 21 year
2701,Since independence Singapores standard living increased progressively stateled industrialization drive aided foreign direct investment created modern economy based electronics manufacturing petrochemicals tourism financial services alongside traditional entrepÃt trade Singapore 17th wealthiest country world terms GDP per capita
2702,Singapore 44th 2006 small nation foreign reserve S222 billion US147 billion
2703,Constitution Republic Singapore established nations political system representative democracy country recognized parliamentary republic Peoples Action Party PAP dominates political process control Parliament every election since selfgovernment 1959
2704,name Singapura derived Sanskrit words singa ààààà lion àªàà city According Malay Annals name given 14th century Sumatran prince named Sang Nila Utama landing island thunderstorm spotted auspicious beast shore chief minister identified lion
2705,Recent studies Singapore indicate lions never lived even Asiatic lions beast seen Sang Nila Utama likely tiger likely Malayan Tiger
2706,Downtown Core Singapore dusk
2707,first records settlement Singapore second century AD island outpost Sumatran Srivijaya empire originally bore Javanese name Temasek sea town Temasek Tumasek rapidly became significant trading settlement declined late 14th century remnants old Temasek Singapore archaeologists Singapore uncovered artefacts settlements 16th early 19th centuries Singapore island part Sultanate Johor MalayPortugal wars 1613 settlement set ablaze Portuguese troops Portuguese subsequently held control century Dutch 17th throughout time islands population consisted mainly fishermen
2708,January 29 1819 Sir Thomas Stamford Raffles landed main island Spotting potential strategic geographical trading post Southeast Asia Raffles signed treaty Sultan Hussein Shah behalf British East India Company develop Singapore British trading post settlement marking start islands modern era Raffless deputy William Farquhar oversaw period growth ethnic migration largely spurred norestriction immigration policy British India office governed island 1858 Singapore made British crown colony 1867 answerable directly Crown 1869 island boasted sizeable community 100000
2709,early onset town planning colonial Singapore came largely divide rule framework different ethnic groups settled different parts South island Singapore River largely commercial area dominated traders bankers various ethnic groups mostly Chinese Indian coolies working load unload goods barge boats known locally bumboats Malays consisting local Orang Lauts worked mostly fishermen seafarers Arab traders scholars mostly found Southeast part river mouth Kampong Glam stands today European settlers settled around Fort Canning Hill upstream Singapore River Like Europeans early Indian migrants also settled inland Singapore River Little India stands today little known rural private settlements times known kampongs major move postindependent Singapore government resettle residents late 1960s
2710,Statue Thomas Stamford Raffles Thomas Woolner erected location first landed Singapore recognized founder modern Singapore
2711,World War II Imperial Japanese Army invaded Malaya culminating Battle Singapore illprepared British defeated six days surrendered supposedly impregnable Bastion Empire General Tomoyuki Yamashita 15 February 1942 known British Empires greatest military defeat Japanese renamed Singapore Japanese southern island obtained age ShÅwa occupied British repossessed island September 12 1945 month Japanese surrender
2712,name ShÅnantÅ time romanized Syonanto Syonan means Light South
2713,Singapore became selfgoverning state 1959 Yusof bin Ishak first Yang diPertuan Negara Lee Kuan Yew first Prime Minister Following 1962 Merger Referendum Singapore Singapore joined Malaya along Sabah Sarawak form Federation Malaysia September 16 1963 separated two years later heated ideological conflict states PAP government federal Kuala Lumpur government Singapore officially gained sovereignty 9 August 1965 Yusof bin Ishak sworn first President Singapore Lee Kuan Yew remained prime minister
2714,fledgling nation selfsufficient faced problems like mass unemployment housing shortages dearth land natural resources Lee Kuan Yews term prime minister 1959 1990 administration attacked widespread unemployment raised standard living implemented largescale public housing programme countrys economic infrastructure developed threat racial tension curbed independent national defence system centring around compulsory male military service created
2715,1990 Goh Chok Tong succeeded Lee Prime Minister tenure country tackled impacts 1997 Asian financial crisis 2003 SARS outbreak terrorist threats posed Jemaah Islamiyah group September 11 attacks
2716,2004 Lee Hsien Loong eldest son Lee Kuan Yew became third prime minister Amongst notable decisions plan open casinos attract foreign tourists
2717,Parliament House
2718,Singapore republic Westminster system unicameral parliamentary government representing different constituencies bulk executive powers rests Cabinet headed Prime Minister office President Singapore historically ceremonial one granted veto powers 1991 key decisions use national reserves appointment judiciary positions Although position elected popular vote 1993 election contested date legislative branch government Parliament
2719,Parliamentary elections Singapore pluralitybased group representation constituencies since Parliamentary Elections Act modified 1991
2720,Istana official residence office President Singapore
2721,Singaporean politics controlled Peoples Action Party PAP since selfgovernment attained Worthington 2002 Mauzy Milne 2002 consequence foreign political analysts several opposition parties like Workers Party Singapore Singapore Democratic Party SDP Singapore Democratic Alliance SDA argued Singapore essentially oneparty state Many analysts consider Singapore illiberal procedural democracy true democracy Economist Intelligence Unit admitting consensus measure democracy definitions democracy contested list Singapore either democracy flawed democracy hybrid regime democratic authoritarian elements Freedom House ranks country partly free Though general elections free irregularities vote rigging PAP criticised manipulating political system use censorship gerrymandering civil libel suits opposition politicians Francis Seow exiled former SolicitorGeneral Singapore prominent critic Seow opposition politicians JB Jeyaretnam Chee Soon Juan claim Singapore courts favour PAP government separation powers
2722,Singapore successful transparent market economy Governmentlinked companies dominant various sectors local economy media utilities public transport Singapore consistently rated least corrupt country Asia among worlds ten free corruption Transparency International
2723,Although Singapores laws inherited British British Indian laws including many elements English common law PAP also consistently rejected liberal democratic values typifies Western states onesizefitsall solution democracy Laws restricting freedom speech justified claims intended prohibit speech may breed ill cause disharmony within Singapores multiracial multireligious society example September 2005 three bloggers convicted sedition posting racist remarks targeting minorities offences lead heavy fines caning laws allow capital punishment Singapore firstdegree murder drug trafficking Amnesty International criticised Singapore possibly highest execution rate world per capita Singapore government argues international consensus appropriateness death penalty Singapore sovereign right determine judicial system impose capital punishment serious crimes
2724,Singapore maintains diplomatic relations 175 countries although maintain high commission embassy many countries member United Nations Commonwealth ASEAN NonAligned Movement Due obvious geographical reasons relations Malaysia Indonesia important Singapore enjoys good relations United Kingdom shares ties Five Power Defence Arrangements FPDA along Malaysia Australia New Zealand Good relations also maintained United States US perceived stabilizing force region counterbalance regional powers
2725,Singapore several longstanding disputes Malaysia number issues
2726,withdrawal Central Provident Funds west Malaysians
2727,Singapore Downtown seen DHL Balloon
2728,Singapore consists 63 islands including mainland Singapore two manmade connections Johor Malaysia JohorSingapore Causeway north Tuas Second Link west Jurong Island Pulau Tekong Pulau Ubin Sentosa largest Singapores many smaller islands highest natural point Singapore Bukit Timah Hill
2729,south Singapore around mouth Singapore River Downtown Core used concentrated urban area rest land either undeveloped tropical rainforest used agriculture Since 1960s government constructed new residential towns outlying areas resulting entirely builtup urban landscape Urban Redevelopment Authority established 1 April 1974 responsible urban planning
2730,Singapore Botanic Gardens 673hectare 166 acre Botanic Gardens Singapore includes National Orchid Garden collection 3000 species orchids
2731,Singapore ongoing land reclamation projects earth obtained hills seabed neighbouring countries result Singapores land area grew 1960s today may grow another 100 kmÂ² 386 sq mi 2030 projects sometimes involve smaller islands merged together land reclamation order form larger functional islands case Jurong Island
2732,KÃppen climate classification system Singapore tropical rainforest climate distinctive seasons climate characterized uniform temperature pressure high humidity abundant rainfall Temperatures range 22 ÂC 34 ÂC 72Â 93 ÂF average relative humidity around 90 percent morning 60 percent afternoon prolonged heavy rain relative humidity often reaches 100 percent lowest highest temperatures recorded maritime history respectively highest wind speed recorded May 26 2007 June July hottest months November December make wetter monsoon season August October often haze sometimes severe enough prompt public health warnings due bushfires neighbouring Indonesia Singapore observe daylight saving time summer time zone change length day nearly constant year round due countrys location near equator
2733,23 percent Singapores land area consists forest nature reserves Urbanization eliminated many areas former primary rainforest remaining area primary rainforest Bukit Timah Nature Reserve variety parks maintained human intervention Singapore Botanic Gardens
2734,Without natural freshwater rivers lakes primary domestic source water supply Singapore rainfall collected reservoirs catchment areas Rainfall supplies approximately 50 percent Singapores water remainder imported neighbouring countries obtained recycled water facilities desalination plants NEWater desalination plants built proposed reduce reliance import
2735,Singapore highly developed marketbased economy historically revolves around extended entrepot trade Along Hong Kong South Korea Taiwan Singapore one Four Asian Tigers economy depends heavily exports refining imported goods especially manufacturing Manufacturing constituted 26 percent Singapores GDP 2005 manufacturing industry welldiversified electronics petroleum refining chemicals mechanical engineering biomedical sciences manufacturing 2006 Singapore produced 10 percent worlds foundry wafer output Singapore busiest port world terms tonnage shipped Singapore worlds fourth largest foreign exchange trading centre London New York City Tokyo
2736,Singapore rated businessfriendly economy world thousands foreign expatriates working multinational corporations citystate also employs tens thousands foreign bluecollared workers around world
2737,Singapores Central Business District CBD
2738,2001 global recession slump technology sector caused GDP contract 22 percent Economic Review Committee ERC set December 2001 recommended several policy changes view revitalising economy Singapore since recovered recession largely due improvements world economy Singaporean economy grew 83 percent 2004 64 percent 2005 79 percent 2006 first half Year 2007 economy grew 76 percent growth forecast whole year expected 7 percent 8 percent original estimation 5 percent 7 percent August 19 2007 Prime Minister Lee Hsien Loong announced National Day Rally Speech Singapores economy expected grow least 46 percent annually next 510 years
2739,per capita GDP 2006 US29474 September 2007 unemployment rate 17 percent lowest decade improved around preAsian crisis level Employment continued grow strongly economy maintained rapid expansion first three quarters 2007 171500 new jobs created close 176000 whole 2006
2740,Orchard Road decorated Christmas 2005 Singapore introduced Goods Services Tax GST initial rate 3 percent 1 April 1994 substantially increasing government revenue S16 billion stabilizing government finances taxable GST increased 4 percent 2003 5 percent 2004 7 percent 1st July 2007
2741,Singapore popular travel destination making tourism one largest industries 97 million tourists visited Singapore 2006 Orchard Road district centre shopping hub Singapore attract tourists government decided 2005 legalise gambling allow two Integrated Resorts developed Marina South Sentosa compete regional rivals like Hong Kong Tokyo Shanghai government announced city area would transformed exciting place lighting civic commercial buildings Besides Integrated Resort upcoming attractions Singapore Flyer 165metres high ferris wheel Gardens Bay 280metres Double Helix Bridge built Marina Bay area Cuisine heavily promoted attraction tourists Singapore Food Festival July organized annually celebrate Singapores cuisine
2742,Singapore fast positioning medical tourism hubâabout 200000 foreigners sought medical care country year Singapore medical services aiming serve one million foreign patients annually 2012 generate USD 3 billion revenue government expects initiative could create estimate 13000 new jobs within health industries
2743,Infocomm Development Authority Singapore IDA WirelessSG governmentinitiated initiative build Singapores Infocomm infrastructure Working IDAs CallforCollaboration SingTel iCell QMax deploy wireless network throughout Singapore Since late 2006 users enjoyed free wireless access WiFi basictier package offered three operators 3 years
2744,Free trade agreements connect Singapore major economies markets allows Singaporebased exporters investors benefit tariff concessions access certain sectors intellectual property protection Singapore 14 bilateral agreements following countries
2745,currency Singapore Singapore dollar represented symbol central bank Singapore Monetary Authority Singapore responsible issuing currency Singapore established Board Commissioners Currency Singapore 7 April 1967
2746,issued first coins notes
2747,Singapore dollar exchangeable par Malaysian ringgit 1973
2748,Interchangeability Brunei dollar still maintained
2749,June 27 2007 commemorate 40 years currency agreement Brunei commemorative S20 note launched back identical Bruneian 20 note launched concurrently
2750,circulation version 20 note exchanged banks Singapore
2751,RSS Intrepid Changi Naval Base Navy Open House 2007
2752,Ministry Defence MINDEF currently headed Minister Teo Chee Hean oversees Singapore Army Republic Singapore Navy Republic Singapore Air Force collectively known Singapore Armed Forces along volunteer private companies involved supporting roles Chief Defence Forces LieutenantGeneral Desmond Kuek Bak Chye
2753,Singapore legislation requires every ablebodied male Singaporean citizen secondgeneration permanent resident undertake National Service minimum 2 years upon reaching 18 years age completion studies whichever comes first exemption medical grounds serving two years every male considered operationally ready liable reservist national service age 40 50 commissioned officers 350000 men serve operationallyready servicemen assigned reservist combat units another 72500 men form fulltime national service regular corps
2754,armed forces serve primarily deterrent potential aggressors also provide humanitarian assistance countries Singapore mutual defence pacts several countries notably Five Power Defence Arrangements extensive overseas network training grounds United States Australia New Zealand France Taiwan Thailand Brunei India South Africa Since 1980 concept strategy Total Defence adopted aspects security approach aimed strengthening Singapore kinds threats
2755,recent rise unconventional warfare terrorism cast increasing emphasis nonmilitary aspects defence Gurkha Contingent part Singapore Police Force also counterterrorist force 1991 hijacking Singapore Airlines Flight 117 ended storming aircraft Singapore Special Operations Force subsequent deaths four hijackers without injury either passengers SOF personnel concern Jemaah Islamiyah militant Islamic group whose plan attack Australian High Commission ultimately foiled 2001
2756,Singapores defence resources used international humanitarian aid missions including United Nations peacekeeping assignments involved 11 different countries September 2005 Republic Singapore Air Force RSAF sent three CH47 Chinook helicopters Louisiana assist relief operations Hurricane Katrina aftermath 2004 Asian Tsunami Boxing Day Tsunami SAF deployed 3 tank landing ships 12 Super Puma 8 Chinook helicopters aid relief operations countries affected tsunami
2757,Built 1843 Sri Mariamman Temple largest Hindu temple Singapore also one many religious buildings marked national monuments historical valueAccording government statistics population Singapore September 2007 468 million 37 million Singaporean citizens permanent residents termed Singapore Residents Chinese formed 752 Singapore Residents Malays 136 Indians 88 Eurasians groups formed 24
2758,2006 crude birth rate stood 101 per 1000 low level attributed birth control policies crude death rate also one lowest world 43 per 1000 total population growth 44 Singapore residents growth 18 higher percentage growth rate largely net immigration also increasing life expectancy Singapore secondmost densely populated independent country world Monaco excluding Macao Hong Kong special administrative regions Peoples Republic China 1957 Singapores population approximately 145 million relatively high birth rate Aware countrys extremely limited natural resources small territory government introduced birth control policies late 1960s late 1990s population ageing fewer people entering labour market shortage skilled workers dramatic reversal policy Singapore government introduce baby bonus scheme 2001 enhanced August 2004 encouraged couples children
2759,2006 total fertility rate 126 children per woman 3rd lowest world well 210 needed replace population CIA Singapore 2006 38317 babies born compared around 37600 2005 number however sufficient maintain population growth overcome problem government encouraging foreigners immigrate Singapore large numbers immigrants kept Singapores population declining
2760,Saint Andrews CathedralSingapore multireligious country
2761,According Statistics Singapore around 51 percent resident Singaporeans excluding significant numbers visitors migrant workers practice Buddhism Taoism 15 percent mostly Chinese Eurasians Indians practice Christianity broad classification including Catholicism Protestantism denominations Muslims constitute 14 percent Malays account majority substantial number Indian Muslims Smaller minorities practice Sikhism Hinduism BahÃÃ Faith others according 2000 census
2762,15 percent population declared religious affiliation
2763,Students assembly hall Singapore secondary school
2764,Singapore high literacy rate English first language learned half children time reach preschool age primary medium instruction primary school however mother tongues taught respective languages English language instruction mathematics natural sciences Special Assistance Plan schools may teach another language encourage vibrant use mother tongues schools also integrate language subjects mathematics sciences using English second language
2765,Curricular standards set Ministry Education mix private schools public schools strict publicprivate dichotomy degree autonomy regarding curriculum student admission government funding received tuition burden students classified governmentrun governmentaided autonomous independent privatelyfunded addition international schools cater expatriate students local students
2766,three universities Singapore National University Singapore Nanyang Technological University Singapore Management University fourth public university consideration government looks provide higher education 30 percent cohort also five polytechnics Temasek Polytechnic Singapore Polytechnic Ngee Ann Polytechnic Nanyang Polytechnic Republic Polytechnic country
2767,educational system features noncompulsory threeyear kindergarten followed sixyear primary education end students take Primary School Leaving Examination PSLE 4â5 years secondary education follow lead N level level examinations determine individual subject mastery kind tertiary education pursue Junior colleges Millennia Institute provide 2 3year preuniversity education route university alternative Integrated Programme lets academicallyinclined skip levels proceed straight levels Polytechnics offer courses leading diploma students substitute levels tertiary institutions offer various bachelors masters doctoral degrees higher diplomas associate degree courses
2768,institutes include National Institute Education NIE teaching college train teachers various management institutes vocational education institutes Institute Technical Education ITE
2769,Economic Development Board actively recruiting foreign schools set campuses Singapore Global Schoolhouse programme aims attract 150000 foreign students 2015 INSEAD leading graduate business school opened first overseas campus 2001 ESSEC Business School centuryold Parisian business school provide courses specific Asia University Chicago Graduate School Business campus well Tisch School Arts latest set branch campus 2007
2770,However EDB failed attract retain Warwick University University New South Wales respectively citing lack academic freedom financial concerns
2771,1999 Ministry Education started Programme Rebuilding Improving Existing schools PRIME upgrade school buildings many built 20 30 years ago phases cost S45 billion programme achieves provide better school environment students upgrading school buildings latest standards 2005 Flexible School Infrastructure FlexSI framework implemented building modular classrooms opened larger lectures allowing schools staff members mould schools designs suit schools unique identity culture time indoor sports hall provided every school schools carry physical education lessons inclement weather
2772,national language Singapore Malay historical reasons used national anthem Majulah Singapura official languages English Mandarin Malay Tamil English promoted countrys language administration since independence English used primarily based British English American English influences use English became widespread Singapore implemented first language medium education system English common language Singaporean literature Public signs official publications English although translated versions official languages However majority population speak localised hybrid form English known Singlish Singapore English many creolelike characteristics incorporating vocabulary grammar Standard English various Chinese dialects Malay Indian languages government consistently tried discourage use Singlish Speak Good English campaigns
2773,Singapore mixture indigenous Malay population third generation Chinese majority well Indian Arab immigrants intermarriages reality people Singapore claim truly indigenous island Singapore people trace ancestry small number Orang Laut Malay fisherfolk living island peoples Singapore including Malays basically descendants immigrants came Singapore take advantage economic opportunities made available founding modern Singapore Raffles also exist significant Eurasian Peranakan known also Straits Chinese communities Singapore also achieved significant degree cultural diffusion
2774,Enjoying Singaporean cuisine Hawker centres kopi tiams evenly distributedSingaporean cuisine example diversity cultural diffusion Singapore fusion Chinese Indian Malay Tamil influences Singapores hawker centres traditionally Malay hawker stalls selling halal food may serve halal versions traditionally Tamil food Chinese food stalls may introduce indigenous Malay ingredients cooking techniques continues make cuisine Singapore significant cultural attraction
2775,Local foods diverse ranging Hainanese chicken rice satay Singaporeans also enjoy wide variety seafood including crabs clams squid oysters One dish stingray barbecued served banana leaf sambal chili
2776,Esplanade Theatres BaySince 1990s government striving promote Singapore centre arts culture transform country cosmopolitan gateway East West
2777,highlight efforts construction Esplanade centre performing arts opened October 12 2002
2778,annual arts festival also organised National Arts Council incorporates theatre arts dance music visual arts among possibilities
2779,first Singapore Biennale took place 2006 showcase contemporary art around world next one 2008 feature Southeast Asian works
2780,media Singapore play important role Singapore one key strategic media centres AsiaPacific region line governments aggressive push establish Singapore media hub world Media 21 plan launched 2002 Comprising publishing print broadcasting film music digital media sectors media industry collectively employed 38000 people contributed 156 Singapores gross domestic product GDP 2001 annual turnover S10 billion industry grew average rate 77 annually 1990 2000 government seeks increase GDP contribution 3 2012
2781,Stateowned MediaCorp operates seven freetoair terrestrial local television channels licensed broadcast Singapore well 14 radio channels Radio television stations governmentowned entities seven television channels owned MediaCorp radio stations mainly operated MediaCorp exception four stations operated SAFRA Radio SPH UnionWorks respectively Private ownership satellite dish receivers capable viewing uncensored televised content abroad illegal
2782,total 16 newspapers active circulation Daily newspapers published English Chinese Malay Tamil
2783,Print dominated Singapore Press Holdings SPH publisher flagship Englishlanguage daily Straits Times SPH publishes daily newspapers exception Today owned MediaCorp
2784,Singaporeans participate wide variety sports recreational activities Favorite sports include football cricket swimming badminton basketball rugby union volleyball table tennis people live public residential areas often provide amenities swimming pools outdoor basketball courts indoor sport complexes might expected island water sports popular including sailing kayaking water skiing Scuba diving another recreation particularly around southern island Pulau Hantu known rich coral reefs
2785,Closing ceremony National Stadium
2786,55000 National Stadium Singapore located Kallang opened July 1973 used sporting cultural entertainment national events official closure June 30 2007 make way Singapore Sports Hub site sports complex expected ready 2011 comprise new 55000capacity National Stadium retractable roof 6000capacity indoor aquatic centre 400meter warmup athletic track 3000seater multipurpose arena 36000 square metres space also reserved commercial development
2787,Golf gaining popularity among Singaporeans 15 golf clubs Singapore golfers prefer travelling regional golf courses especially Johor Malaysia due relatively cheaper club membership
2788,Singaporean sportsmen performed regional well international competitions sports table tennis badminton bowling sailing silat swimming water polo Athletes Fandi Ahmad Ang Peng Siong Li Jiawei Ronald Susilo become household names country
2789,Singapore Slingers joined Australian National Basketball League 2006 three Singaporeans squad Despite team largest support pool NBL generally get smallest crowds NBL
2790,Beginning 2008 Singapore hosting round Formula One World Championship race staged Singapore Street Circuit Marina Bay area become first night race F1 circuit first street circuit Asia
2791,2007 Singapore announced bid host Youth Olympic Games 2010
2792,Singapore Sports School specialized independent school established January 2004 initiated Ministry Community Development Youth Sports MCYS caters sporting teenagers talent capability sports
2793,Singapore Sports School specialized school providing good academic training environment talented young athletes idea establishing specialized school young athletes mooted Committee Sporting Singapore CoSS 2000 CoSS noted Singapores demanding academic environment places lot pressure young athletes leading abandon sporting aspirations favour studies
2794,three tallest buildings Singapore located Raffles Place namely left right Republic Plaza UOB Plaza One OUB Centre three buildings 280 metres height
2795,architecture Singapore varied reflecting ethnic buildup country Singapore several ethnic neighbourhoods including Chinatown Little India formed Raffles Plan segregate immigrants Many places worship also constructed colonial era Sri Mariamman Temple Masjid Jamae mosque Church Gregory Illuminator among built colonial period Work underway preserve religious sites National Monuments Singapore
2796,Due lack space historical buildings remain centre Central Business District CBD Singapore Fullerton Hotel previouslymoved Lau Pa Sat exceptions However outside Raffles Place throughout rest downtown core large scattering preWWII buildings going back nearly far Raffles Empress Place Building built 1827 Many classical buildings destroyed postwar decades 1990s government started strict programs conserve buildings areas historic value
2797,Past shopping malls streets lined shophouses Many areas gazetted historic districts Information found URA Centre Maxwell Road exhibits several models island architecture Singapore also become centre postmodern architecture Historically demand highend buildings around Central Business District CBD decades development CBD become area many tall office buildings buildings comprise skyline along coast Marina Bay Raffles Place tourist attraction Singapore Plans tall buildings must reviewed Civil Aviation Authority Singapore building Singapore may taller 280 metres three tallest buildings Singapore namely Republic Plaza UOB Plaza One OUB Centre 280 metres height
2798,water resources Singapore precious given small amount land territory Singapore relative large urban population citystate Without natural freshwater rivers lakes primary domestic source water Singapore rainfall collected reservoirs water catchment areas Rainfall supplies approximately 50 Singapores water remainder mainly imported Malaysia Presently catchment areas facilities recycle water producing NEWater desalination plants built four tap strategy aims reduce reliance foreign supply diversify water sources
2799,Singapore network reservoirs water catchment areas 2001 19 raw water reservoirs 9 treatment works 14 storage service reservoirs locally serve domestic needs Marina Barrage dam constructed around estuary three Singapore rivers creating 2009 huge freshwater reservoir Marina Bay reservoir developed increase rainfall catchment twothirds countrys surface area
2800,Historically Singapore relied imports Malaysia supply half water consumption However two water agreements supply Singapore water due expire 2011 2061 respectively two countries engaged dispute price water Without resolution sight government Singapore decided increase selfsufficiency water supply
2801,Port Singapore Sentosa island background
2802,Singapore major Asian transportation hub positioned many sea air trade routes
2803,Port Singapore managed port operators PSA International Jurong Port worlds busiest port 2005 terms shipping tonnage handled 115 billion gross tons terms containerised traffic 232 million twentyfoot equivalent units TEUs also worlds second busiest terms cargo tonnage coming behind Shanghai 423 million tons handled addition Port worlds busiest transshipment traffic worlds biggest ship refuelling centre
2804,PSA Keppel
2805,Singapore aviation hub Southeast Asian region acts stopover point Kangaroo route Australasia Europe Singapore Changi Airport network 81 airlines connecting Singapore 185 cities 58 countries rated one best international airports international travel magazines including rated worlds best airport first time 2006 Skytrax airport two passenger terminals third terminal terminal 3 scheduled completion January 2008 plans fourth terminal also budget terminal serves budget carrier Tiger Airways Cebu Pacific national carrier Singapore Airlines SIA government moving towards privatising Changi airport
2806,Singapore linked Johor Malaysia via JohorSingapore Causeway Tuas Second Link well railway operated Keretapi Tanah Melayu Malaysia southern terminus Tanjong Pagar railway station Frequent ferry service several nearby Indonesian ports also exists
2807,C751B train Eunos MRT Station Mass Rapid Transit MRT system one three heavy rail passenger transport lines Singapore
2808,domestic transport infrastructure wellconnected islandwide road transport system includes network expressways public road system served nations bus service number licensed taxioperating companies public bus transport subject criticism Singaporeans majority dependent daily commuting suffer infrequency poor scheduling buses sometimes lessthandesirable conditions
2809,Since 1987 heavy rail passenger Mass Rapid Transit MRT metro system operation MRT augmented Light Rapid Transit LRT light rail system provides service housing estates Established 2001 EZLink system allows contactless smartcards serve stored value tickets use public transport systems Singapore
2810,278 million people use bus network daily 13 million people use either LRT MRT part daily routine Approximately 991000 people use taxi services daily Private vehicle use Central Area discouraged tolls implemented hours heavy road traffic Electronic Road Pricing system Private vehicle ownership discouraged high vehicle taxes imposing quotas vehicle purchase
2811,article incorporates public domain text websites Singapore Department Statistics United States Department State United States Library Congress CIA World Factbook 2004
2812,General Information
2813,Travel
2814,Directory Guide
2815,Maps
2816,Principality Liechtenstein tiny doubly landlocked alpine country Western Europe bordered Switzerland west Austria east Mountainous winter sports resort although perhaps best known tax Despite heavily urbanized Many cultivated fields small farms characterize landscape north Unterland south Oberland smallest Germanspeaking country world
2817,one time territory Liechtenstein formed part ancient Roman province Raetia centuries territory geographically removed European strategic interests little impact tide European history Prior reign current dynasty region enfeoffed line counts Hohenems
